"Code";"Name";"total in square km;2021;[km2]";
1211032;"Czarny Dunajec (2)";218;
1211042;"Czorsztyn (2)";62;
1211052;"Jabłonka (2)";212;
1211062;"Krościenko nad Dunajcem (2)";57;
1211072;"Lipnica Wielka (2)";67;
1211082;"Łapsze Niżne (2)";126;
1211092;"Nowy Targ (2)";208;
1211102;"Ochotnica Dolna (2)";141;
1211112;"Raba Wyżna (2)";89;
1211123;"Rabka-Zdrój (3)";69;
1211124;"Rabka-Zdrój - urban area (4)";36;
1211125;"Rabka-Zdrój - rural area (5)";33;
1211132;"Spytkowice (2)";32;
1211142;"Szaflary (2)";54;
1212000;"Powiat olkuski";618;
1212011;"Bukowno (1)";65;
1212032;"Bolesław (2)";41;
1212042;"Klucze (2)";119;
1212053;"Olkusz (3)";151;
1212054;"Olkusz - urban area (4)";25;
1212055;"Olkusz - rural area (5)";126;
1212062;"Trzyciąż (2)";95;
1212073;"Wolbrom (3)";147;
1212074;"Wolbrom - urban area (4)";10;
1212075;"Wolbrom - rural area (5)";137;
1213000;"Powiat oświęcimski";406;
1213011;"Oświęcim (1)";30;
1213023;"Brzeszcze (3)";46;
1213024;"Brzeszcze - urban area (4)";19;
1213025;"Brzeszcze - rural area (5)";27;
1213033;"Chełmek (3)";27;
1213034;"Chełmek - urban area (4)";8;
1213035;"Chełmek - rural area (5)";19;
1213043;"Kęty (3)";76;
1213044;"Kęty - urban area (4)";23;
1213045;"Kęty - rural area (5)";53;
1213052;"Osiek (2)";41;
1213062;"Oświęcim (2)";75;
1213072;"Polanka Wielka (2)";24;
1213082;"Przeciszów (2)";35;
1213093;"Zator (3)";52;
1213094;"Zator - urban area (4)";12;
1213095;"Zator - rural area (5)";40;
1214000;"Powiat proszowicki";415;
1214012;"Koniusza (2)";89;
1214023;"Koszyce (3)";66;
1214024;"Koszyce - urban area (4)";3;
1214025;"Koszyce - rural area (5)";63;
1214033;"Nowe Brzesko (3)";54;
1214034;"Nowe Brzesko - urban area (4)";8;
1214035;"Nowe Brzesko - rural area (5)";46;
1214042;"Pałecznica (2)";48;
1214053;"Proszowice (3)";100;
1214054;"Proszowice - urban area (4)";7;
1214055;"Proszowice - rural area (5)";93;
1214062;"Radziemice (2)";58;
1215000;"Powiat suski";686;
1215011;"Jordanów (1)";21;
1215021;"Sucha Beskidzka (1)";28;
1215032;"Budzów (2)";74;
1215042;"Bystra-Sidzina (2)";81;
1215052;"Jordanów (2)";92;
1215063;"Maków Podhalański (3)";109;
1215064;"Maków Podhalański - urban area (4)";20;
1215065;"Maków Podhalański - rural area (5)";89;
1215072;"Stryszawa (2)";114;
1215082;"Zawoja (2)";128;
1215092;"Zembrzyce (2)";39;
1216000;"Powiat tarnowski";1412;
1216013;"Ciężkowice (3)";103;
1216014;"Ciężkowice - urban area (4)";11;
1216015;"Ciężkowice - rural area (5)";92;
1216022;"Gromnik (2)";70;
1216032;"Lisia Góra (2)";105;
1216042;"Pleśna (2)";83;
1216053;"Radłów (3)";86;
1216054;"Radłów - urban area (4)";17;
1216055;"Radłów - rural area (5)";69;
1216063;"Ryglice (3)";117;
1216064;"Ryglice - urban area (4)";25;
1216065;"Ryglice - rural area (5)";92;
1216072;"Rzepiennik Strzyżewski (2)";71;
1216082;"Skrzyszów (2)";86;
1216092;"Tarnów (2)";83;
1216103;"Tuchów (3)";100;
1216104;"Tuchów - urban area (4)";18;
1216105;"Tuchów - rural area (5)";82;
1216112;"Wierzchosławice (2)";75;
1216122;"Wietrzychowice (2)";48;
1216133;"Wojnicz (3)";79;
1216134;"Wojnicz - urban area (4)";8;
1216135;"Wojnicz - rural area (5)";71;
1216143;"Zakliczyn (3)";122;
1216144;"Zakliczyn - urban area (4)";4;
1216145;"Zakliczyn - rural area (5)";118;
1216153;"Żabno (3)";102;
1216154;"Żabno - urban area (4)";11;
1216155;"Żabno - rural area (5)";91;
1216162;"Szerzyny (2)";82;
1217000;"Powiat tatrzański";472;
1217011;"Zakopane (1)";84;
1217022;"Biały Dunajec (2)";35;
1217032;"Bukowina Tatrzańska (2)";132;
1217042;"Kościelisko (2)";137;
1217052;"Poronin (2)";84;
1218000;"Powiat wadowicki";646;
1218013;"Andrychów (3)";100;
1218014;"Andrychów - urban area (4)";10;
1218015;"Andrychów - rural area (5)";90;
1218022;"Brzeźnica (2)";66;
1218033;"Kalwaria Zebrzydowska (3)";75;
1218034;"Kalwaria Zebrzydowska - urban area (4)";6;
1218035;"Kalwaria Zebrzydowska - rural area (5)";69;
1218042;"Lanckorona (2)";40;
1218052;"Mucharz (2)";37;
1218062;"Spytkowice (2)";52;
1218072;"Stryszów (2)";46;
1218082;"Tomice (2)";42;
1218093;"Wadowice (3)";113;
1218094;"Wadowice - urban area (4)";11;
1218095;"Wadowice - rural area (5)";102;
1218102;"Wieprz (2)";75;
1219000;"Powiat wielicki";411;
1219012;"Biskupice (2)";41;
1219022;"Gdów (2)";109;
1219032;"Kłaj (2)";65;
1219043;"Niepołomice (3)";96;
1219044;"Niepołomice - urban area (4)";28;
1219045;"Niepołomice - rural area (5)";68;
1219053;"Wieliczka (3)";100;
1219054;"Wieliczka - urban area (4)";13;
1219055;"Wieliczka - rural area (5)";87;
1261000;"City with powiat status Kraków";327;
1261011;"Kraków (1)";327;
1262000;"City with powiat status Nowy Sącz";58;
1262011;"Nowy Sącz (1)";58;
1263000;"City with powiat status Tarnów";72;
1263011;"Tarnów (1)";72;
1400000;"MAZOWIECKIE";35559;
1401000;"Powiat białobrzeski";639;
1401013;"Białobrzegi (3)";78;
1401014;"Białobrzegi - urban area (4)";8;
1401015;"Białobrzegi - rural area (5)";70;
1401022;"Promna (2)";120;
1401032;"Radzanów (2)";83;
1401042;"Stara Błotnica (2)";96;
1401052;"Stromiec (2)";156;
1401063;"Wyśmierzyce (3)";106;
1401064;"Wyśmierzyce - urban area (4)";17;
1401065;"Wyśmierzyce - rural area (5)";89;
1402000;"Powiat ciechanowski";1060;
1402011;"Ciechanów (1)";33;
1402022;"Ciechanów (2)";141;
1402033;"Glinojeck (3)";154;
1402034;"Glinojeck - urban area (4)";7;
1402035;"Glinojeck - rural area (5)";147;
1402042;"Gołymin-Ośrodek (2)";111;
1402052;"Grudusk (2)";97;
1402062;"Ojrzeń (2)";120;
1402072;"Opinogóra Górna (2)";139;
1402082;"Regimin (2)";111;
1402092;"Sońsk (2)";154;
1403000;"Powiat garwoliński";1285;
1403011;"Garwolin (1)";22;
1403021;"Łaskarzew (1)";15;
1403032;"Borowie (2)";80;
1403042;"Garwolin (2)";136;
1403052;"Górzno (2)";91;
1403062;"Łaskarzew (2)";88;
1403072;"Maciejowice (2)";175;
1403082;"Miastków Kościelny (2)";85;
1403092;"Parysów (2)";64;
1403103;"Pilawa (3)";77;
1403104;"Pilawa - urban area (4)";7;
1403105;"Pilawa - rural area (5)";70;
1403112;"Sobolew (2)";95;
1403122;"Trojanów (2)";152;
1403132;"Wilga (2)";118;
1403143;"Żelechów (3)";87;
1403144;"Żelechów - urban area (4)";12;
1403145;"Żelechów - rural area (5)";75;
1404000;"Powiat gostyniński";615;
1404011;"Gostynin (1)";32;
1404022;"Gostynin (2)";271;
1404032;"Pacyna (2)";90;
1404043;"Sanniki (3)";95;
1404044;"Sanniki - urban area (4)";12;
1404045;"Sanniki - rural area (5)";83;
1404052;"Szczawin Kościelny (2)";127;
1405000;"Powiat grodziski";367;
1405011;"Milanówek (1)";13;
1405021;"Podkowa Leśna (1)";10;
1405032;"Baranów (2)";76;
1405043;"Grodzisk Mazowiecki (3)";107;
1405044;"Grodzisk Mazowiecki - urban area (4)";14;
1405045;"Grodzisk Mazowiecki - rural area (5)";93;
1405052;"Jaktorów (2)";55;
1405062;"Żabia Wola (2)";106;
1406000;"Powiat grójecki";1268;
1406012;"Belsk Duży (2)";108;
1406022;"Błędów (2)";134;
1406032;"Chynów (2)";135;
1406042;"Goszczyn (2)";58;
1406053;"Grójec (3)";121;
1406054;"Grójec - urban area (4)";8;
1406055;"Grójec - rural area (5)";113;
1406062;"Jasieniec (2)";108;
1406073;"Mogielnica (3)";141;
1406074;"Mogielnica - urban area (4)";13;
1406075;"Mogielnica - rural area (5)";128;
1406083;"Nowe Miasto nad Pilicą (3)";159;
1406084;"Nowe Miasto nad Pilicą - urban area (4)";11;
1406085;"Nowe Miasto nad Pilicą - rural area (5)";148;
1406092;"Pniewy (2)";102;
1406113;"Warka (3)";202;
1406114;"Warka - urban area (4)";27;
1406115;"Warka - rural area (5)";175;
1407000;"Powiat kozienicki";916;
1407012;"Garbatka-Letnisko (2)";74;
1407022;"Głowaczów (2)";186;
1407032;"Gniewoszów (2)";84;
1407042;"Grabów nad Pilicą (2)";125;
1407053;"Kozienice (3)";244;
1407054;"Kozienice - urban area (4)";10;
1407055;"Kozienice - rural area (5)";234;
1407062;"Magnuszew (2)";141;
1407072;"Sieciechów (2)";62;
1408000;"Powiat legionowski";391;
1408011;"Legionowo (1)";14;
1408022;"Jabłonna (2)";65;
1408032;"Nieporęt (2)";96;
1408043;"Serock (3)";110;
1408044;"Serock - urban area (4)";13;
1408045;"Serock - rural area (5)";97;
1408052;"Wieliszew (2)";106;
1409000;"Powiat lipski";740;
1409012;"Chotcza (2)";90;
1409022;"Ciepielów (2)";135;
1409033;"Lipsko (3)";135;
1409034;"Lipsko - urban area (4)";16;
1409035;"Lipsko - rural area (5)";119;
1409042;"Rzeczniów (2)";103;
1409052;"Sienno (2)";147;
1409063;"Solec nad Wisłą (3)";130;
1409064;"Solec nad Wisłą - urban area (4)";21;
1409065;"Solec nad Wisłą - rural area (5)";109;
1410000;"Powiat łosicki";772;
1410012;"Huszlew (2)";118;
1410023;"Łosice (3)";121;
1410024;"Łosice - urban area (4)";24;
1410025;"Łosice - rural area (5)";97;
1410032;"Olszanka (2)";88;
1410042;"Platerów (2)";129;
1410052;"Sarnaki (2)";197;
1410062;"Stara Kornica (2)";119;
1411000;"Powiat makowski";1065;
1411011;"Maków Mazowiecki (1)";10;
1411022;"Czerwonka (2)";110;
1411032;"Karniewo (2)";129;
1411042;"Krasnosielc (2)";168;
1411052;"Młynarze (2)";75;
1411062;"Płoniawy-Bramura (2)";135;
1411073;"Różan (3)";85;
1411074;"Różan - urban area (4)";7;
1411075;"Różan - rural area (5)";78;
1411082;"Rzewnie (2)";112;
1411092;"Sypniewo (2)";128;
1411102;"Szelków (2)";113;
1412000;"Powiat miński";1164;
1412011;"Mińsk Mazowiecki (1)";13;
1412042;"Cegłów (2)";96;
1412052;"Dębe Wielkie (2)";78;
1412062;"Dobre (2)";125;
1412073;"Halinów (3)";63;
1412074;"Halinów - urban area (4)";3;
1412075;"Halinów - rural area (5)";60;
1412082;"Jakubów (2)";87;
1412093;"Kałuszyn (3)";94;
1412094;"Kałuszyn - urban area (4)";12;
1412095;"Kałuszyn - rural area (5)";82;
1412102;"Latowicz (2)";114;
1412112;"Mińsk Mazowiecki (2)";112;
1412123;"Mrozy (3)";145;
1412124;"Mrozy - urban area (4)";8;
1412125;"Mrozy - rural area (5)";137;
1412132;"Siennica (2)";111;
1412142;"Stanisławów (2)";107;
1412151;"Sulejówek (1)";19;
1413000;"Powiat mławski";1182;
1413011;"Mława (1)";35;
1413022;"Dzierzgowo (2)";151;
1413032;"Lipowiec Kościelny (2)";114;
1413042;"Radzanów (2)";99;
1413052;"Strzegowo (2)";214;
1413062;"Stupsk (2)";118;
1413072;"Szreńsk (2)";109;
1413082;"Szydłowo (2)";123;
1413092;"Wieczfnia Kościelna (2)";120;
1413102;"Wiśniewo (2)";99;
1414000;"Powiat nowodworski";695;
1414011;"Nowy Dwór Mazowiecki (1)";28;
1414022;"Czosnów (2)";128;
1414032;"Leoncin (2)";158;
1414043;"Nasielsk (3)";206;
1414044;"Nasielsk - urban area (4)";13;
1414045;"Nasielsk - rural area (5)";193;
1414052;"Pomiechówek (2)";103;
1414063;"Zakroczym (3)";72;
1414064;"Zakroczym - urban area (4)";20;
1414065;"Zakroczym - rural area (5)";52;
1415000;"Powiat ostrołęcki";2093;
1415012;"Baranowo (2)";197;
1415022;"Czarnia (2)";94;
1415032;"Czerwin (2)";170;
1415042;"Goworowo (2)";219;
1415052;"Kadzidło (2)";259;
1415062;"Lelis (2)";196;
1415072;"Łyse (2)";247;
1415083;"Myszyniec (3)";227;
1415084;"Myszyniec - urban area (4)";11;
1415085;"Myszyniec - rural area (5)";216;
1415092;"Olszewo-Borki (2)";197;
1415102;"Rzekuń (2)";131;
1415112;"Troszyn (2)";156;
1416000;"Powiat ostrowski";1218;
1416011;"Ostrów Mazowiecka (1)";22;
1416022;"Andrzejewo (2)";119;
1416032;"Boguty-Pianki (2)";89;
1416043;"Brok (3)";110;
1416044;"Brok - urban area (4)";28;
1416045;"Brok - rural area (5)";82;
1416052;"Małkinia Górna (2)";134;
1416062;"Nur (2)";96;
1416072;"Ostrów Mazowiecka (2)";283;
1416082;"Stary Lubotyń (2)";110;
1416092;"Szulborze Wielkie (2)";47;
1416102;"Wąsewo (2)";119;
1416112;"Zaręby Kościelne (2)";89;
1417000;"Powiat otwocki";616;
1417011;"Józefów (1)";24;
1417021;"Otwock (1)";47;
1417032;"Celestynów (2)";89;
1417043;"Karczew (3)";81;
1417044;"Karczew - urban area (4)";28;
1417045;"Karczew - rural area (5)";53;
1417052;"Kołbiel (2)";107;
1417062;"Osieck (2)";68;
1417072;"Sobienie-Jeziory (2)";98;
1417082;"Wiązowna (2)";102;
1418000;"Powiat piaseczyński";621;
1418013;"Góra Kalwaria (3)";144;
1418014;"Góra Kalwaria - urban area (4)";14;
1418015;"Góra Kalwaria - rural area (5)";130;
1418023;"Konstancin-Jeziorna (3)";79;
1418024;"Konstancin-Jeziorna - urban area (4)";18;
1418025;"Konstancin-Jeziorna - rural area (5)";61;
1418032;"Lesznowola (2)";69;
1418043;"Piaseczno (3)";128;
1418044;"Piaseczno - urban area (4)";16;
1418045;"Piaseczno - rural area (5)";112;
1418052;"Prażmów (2)";87;
1418063;"Tarczyn (3)";114;
1418064;"Tarczyn - urban area (4)";5;
1418065;"Tarczyn - rural area (5)";109;
1419000;"Powiat płocki";1796;
1419012;"Bielsk (2)";125;
1419022;"Bodzanów (2)";136;
1419032;"Brudzeń Duży (2)";159;
1419042;"Bulkowo (2)";117;
1419053;"Drobin (3)";144;
1419054;"Drobin - urban area (4)";10;
1419055;"Drobin - rural area (5)";134;
1419063;"Gąbin (3)";146;
1419064;"Gąbin - urban area (4)";28;
1419065;"Gąbin - rural area (5)";118;
1419072;"Łąck (2)";94;
1419082;"Mała Wieś (2)";109;
1419092;"Nowy Duninów (2)";146;
1419102;"Radzanowo (2)";104;
1419112;"Słubice (2)";96;
1419122;"Słupno (2)";75;
1419132;"Stara Biała (2)";111;
1419142;"Staroźreby (2)";138;
1419153;"Wyszogród (3)";96;
1419154;"Wyszogród - urban area (4)";13;
1419155;"Wyszogród - rural area (5)";83;
1420000;"Powiat płoński";1380;
1420011;"Płońsk (1)";12;
1420021;"Raciąż (1)";8;
1420032;"Baboszewo (2)";162;
1420043;"Czerwińsk nad Wisłą (3)";144;
1420044;"Czerwińsk nad Wisłą - urban area (4)";5;
1420045;"Czerwińsk nad Wisłą - rural area (5)";139;
1420052;"Dzierzążnia (2)";102;
1420062;"Joniec (2)";73;
1420072;"Naruszewo (2)";160;
1420082;"Nowe Miasto (2)";118;
1420092;"Płońsk (2)";127;
1420102;"Raciąż (2)";244;
1420113;"Sochocin (3)";122;
1420114;"Sochocin - urban area (4)";7;
1420115;"Sochocin - rural area (5)";115;
1420122;"Załuski (2)";108;
1421000;"Powiat pruszkowski";246;
1421011;"Piastów (1)";6;
1421021;"Pruszków (1)";19;
1421033;"Brwinów (3)";69;
1421034;"Brwinów - urban area (4)";15;
1421035;"Brwinów - rural area (5)";54;
1421042;"Michałowice (2)";35;
1421052;"Nadarzyn (2)";73;
1421062;"Raszyn (2)";44;
1422000;"Powiat przasnyski";1219;
1422011;"Przasnysz (1)";25;
1422023;"Chorzele (3)";371;
1422024;"Chorzele - urban area (4)";18;
1422025;"Chorzele - rural area (5)";353;
1422032;"Czernice Borowe (2)";120;
1422042;"Jednorożec (2)";233;
1422052;"Krasne (2)";101;
1422062;"Krzynowłoga Mała (2)";185;
1422072;"Przasnysz (2)";184;
1423000;"Powiat przysuski";801;
1423012;"Borkowice (2)";86;
1423022;"Gielniów (2)";79;
1423032;"Klwów (2)";87;
1423042;"Odrzywół (2)";99;
1423052;"Potworów (2)";82;
1423063;"Przysucha (3)";182;
1423064;"Przysucha - urban area (4)";7;
1423065;"Przysucha - rural area (5)";175;
1423072;"Rusinów (2)";83;
1423082;"Wieniawa (2)";103;
1424000;"Powiat pułtuski";827;
1424012;"Gzy (2)";104;
1424022;"Obryte (2)";140;
1424032;"Pokrzywnica (2)";121;
1424043;"Pułtusk (3)";134;
1424044;"Pułtusk - urban area (4)";23;
1424045;"Pułtusk - rural area (5)";111;
1424052;"Świercze (2)";93;
1424062;"Winnica (2)";115;
1424072;"Zatory (2)";120;
1425000;"Powiat radomski";1530;
1425011;"Pionki (1)";18;
1425022;"Gózd (2)";78;
1425033;"Iłża (3)";256;
1425034;"Iłża - urban area (4)";17;
1425035;"Iłża - rural area (5)";239;
1425042;"Jastrzębia (2)";90;
1425052;"Jedlińsk (2)";139;
1425062;"Jedlnia-Letnisko (2)";66;
1425072;"Kowala (2)";75;
1425082;"Pionki (2)";230;
1425092;"Przytyk (2)";134;
1425103;"Skaryszew (3)";171;
1425104;"Skaryszew - urban area (4)";27;
1425105;"Skaryszew - rural area (5)";144;
1425112;"Wierzbica (2)";94;
1425122;"Wolanów (2)";83;
1425132;"Zakrzew (2)";96;
1426000;"Powiat siedlecki";1603;
1426012;"Domanice (2)";47;
1426022;"Korczew (2)";105;
1426032;"Kotuń (2)";151;
1426042;"Mokobody (2)";119;
1426053;"Mordy (3)";170;
1426054;"Mordy - urban area (4)";5;
1426055;"Mordy - rural area (5)";165;
1426062;"Paprotnia (2)";81;
1426072;"Przesmyki (2)";117;
1426082;"Siedlce (2)";141;
1426092;"Skórzec (2)";119;
1426102;"Suchożebry (2)";101;
1426112;"Wiśniew (2)";126;
1426122;"Wodynie (2)";115;
1426132;"Zbuczyn (2)";211;
1427000;"Powiat sierpecki";852;
1427011;"Sierpc (1)";19;
1427022;"Gozdowo (2)";126;
1427032;"Mochowo (2)";144;
1427042;"Rościszewo (2)";115;
1427052;"Sierpc (2)";150;
1427062;"Szczutowo (2)";113;
1427072;"Zawidz (2)";185;
1428000;"Powiat sochaczewski";735;
1428011;"Sochaczew (1)";26;
1428022;"Brochów (2)";120;
1428032;"Iłów (2)";129;
1428042;"Młodzieszyn (2)";118;
1428052;"Nowa Sucha (2)";90;
1428062;"Rybno (2)";73;
1428072;"Sochaczew (2)";91;
1428082;"Teresin (2)";88;
1429000;"Powiat sokołowski";1131;
1429011;"Sokołów Podlaski (1)";18;
1429022;"Bielany (2)";110;
1429032;"Ceranów (2)";111;
1429042;"Jabłonna Lacka (2)";149;
1429053;"Kosów Lacki (3)";200;
1429054;"Kosów Lacki - urban area (4)";11;
1429055;"Kosów Lacki - rural area (5)";189;
1429062;"Repki (2)";168;
1429072;"Sabnie (2)";108;
1429082;"Sokołów Podlaski (2)";137;
1429092;"Sterdyń (2)";130;
1430000;"Powiat szydłowiecki";452;
1430012;"Chlewiska (2)";124;
1430022;"Jastrząb (2)";55;
1430032;"Mirów (2)";53;
1430042;"Orońsko (2)";82;
1430053;"Szydłowiec (3)";138;
1430054;"Szydłowiec - urban area (4)";22;
1430055;"Szydłowiec - rural area (5)";116;
1432000;"Powiat warszawski zachodni";534;
1432013;"Błonie (3)";86;
1432014;"Błonie - urban area (4)";9;
1432015;"Błonie - rural area (5)";77;
1432022;"Izabelin (2)";65;
1432032;"Kampinos (2)";85;
1432042;"Leszno (2)";125;
1432053;"Łomianki (3)";39;
1432054;"Łomianki - urban area (4)";8;
1432055;"Łomianki - rural area (5)";31;
1432063;"Ożarów Mazowiecki (3)";71;
1432064;"Ożarów Mazowiecki - urban area (4)";8;
1432065;"Ożarów Mazowiecki - rural area (5)";63;
1432072;"Stare Babice (2)";63;
1433000;"Powiat węgrowski";1221;
1433011;"Węgrów (1)";36;
1433022;"Grębków (2)";131;
1433032;"Korytnica (2)";180;
1433042;"Liw (2)";169;
1433053;"Łochów (3)";196;
1433054;"Łochów - urban area (4)";13;
1433055;"Łochów - rural area (5)";183;
1433062;"Miedzna (2)";116;
1433072;"Sadowne (2)";145;
1433082;"Stoczek (2)";145;
1433092;"Wierzbno (2)";103;
1434000;"Powiat wołomiński";954;
1434011;"Kobyłka (1)";20;
1434021;"Marki (1)";26;
1434031;"Ząbki (1)";11;
1434041;"Zielonka (1)";79;
1434052;"Dąbrówka (2)";109;
1434062;"Jadów (2)";117;
1434072;"Klembów (2)";86;
1434082;"Poświętne (2)";104;
1434093;"Radzymin (3)";129;
1434094;"Radzymin - urban area (4)";23;
1434095;"Radzymin - rural area (5)";106;
1434102;"Strachówka (2)";108;
1434113;"Tłuszcz (3)";103;
1434114;"Tłuszcz - urban area (4)";8;
1434115;"Tłuszcz - rural area (5)";95;
1434123;"Wołomin (3)";62;
1434124;"Wołomin - urban area (4)";17;
1434125;"Wołomin - rural area (5)";45;
1435000;"Powiat wyszkowski";876;
1435012;"Brańszczyk (2)";167;
1435022;"Długosiodło (2)";167;
1435032;"Rząśnik (2)";167;
1435042;"Somianka (2)";118;
1435053;"Wyszków (3)";165;
1435054;"Wyszków - urban area (4)";21;
1435055;"Wyszków - rural area (5)";144;
1435062;"Zabrodzie (2)";92;
1436000;"Powiat zwoleński";573;
1436012;"Kazanów (2)";95;
1436022;"Policzna (2)";113;
1436032;"Przyłęk (2)";131;
1436042;"Tczów (2)";72;
1436053;"Zwoleń (3)";162;
1436054;"Zwoleń - urban area (4)";16;
1436055;"Zwoleń - rural area (5)";146;
1437000;"Powiat żuromiński";807;
1437013;"Bieżuń (3)";121;
1437014;"Bieżuń - urban area (4)";12;
1437015;"Bieżuń - rural area (5)";109;
1437022;"Kuczbork-Osada (2)";122;
1437033;"Lubowidz (3)";192;
1437034;"Lubowidz - urban area (4)";6;
1437035;"Lubowidz - rural area (5)";186;
1437042;"Lutocin (2)";126;
1437052;"Siemiątkowo (2)";113;
1437063;"Żuromin (3)";133;
1437064;"Żuromin - urban area (4)";11;
1437065;"Żuromin - rural area (5)";122;
1438000;"Powiat żyrardowski";533;
1438011;"Żyrardów (1)";14;
1438023;"Mszczonów (3)";152;
1438024;"Mszczonów - urban area (4)";9;
1438025;"Mszczonów - rural area (5)";143;
1438032;"Puszcza Mariańska (2)";143;
1438042;"Radziejowice (2)";73;
1438053;"Wiskitki (3)";151;
1438054;"Wiskitki - urban area (4)";7;
1438055;"Wiskitki - rural area (5)";144;
1461000;"City with powiat status Ostrołęka";33;
1461011;"Ostrołęka (1)";33;
1462000;"City with powiat status Płock";88;
1462011;"Płock (1)";88;
1463000;"City with powiat status Radom";112;
1463011;"Radom (1)";112;
1464000;"City with powiat status Siedlce";32;
1464011;"Siedlce (1)";32;
1465000;"City with powiat status Capital City Warszawa";517;
1465011;"Capital city Warszawa since 2002 (1)";517;
1465028;"Bemowo - district (8)";25;
1465038;"Białołęka - district (8)";73;
1465048;"Bielany - district (8)";32;
1465058;"Mokotów - district (8)";35;
1465068;"Ochota - district (8)";10;
1465078;"Praga-Południe - district (8)";22;
1465088;"Praga-Północ - district (8)";11;
1465098;"Rembertów - district (8)";19;
1465108;"Śródmieście - district (8)";16;
1465118;"Targówek - district (8)";24;
1465128;"Ursus - district (8)";9;
1465138;"Ursynów - district (8)";44;
1465148;"Wawer - district (8)";80;
1465158;"Wesoła - district (8)";23;
1465168;"Wilanów - district (8)";37;
1465178;"Włochy - district (8)";29;
1465188;"Wola - district (8)";19;
1465198;"Żoliborz - district (8)";9;
1600000;"OPOLSKIE";9412;
1601000;"Powiat brzeski";876;
1601011;"Brzeg (1)";15;
1601022;"Skarbimierz (2)";110;
1601033;"Grodków (3)";286;
1601034;"Grodków - urban area (4)";9;
1601035;"Grodków - rural area (5)";277;
1601043;"Lewin Brzeski (3)";160;
1601044;"Lewin Brzeski - urban area (4)";12;
1601045;"Lewin Brzeski - rural area (5)";148;
1601052;"Lubsza (2)";212;
1601062;"Olszanka (2)";93;
1602000;"Powiat głubczycki";673;
1602013;"Baborów (3)";117;
1602014;"Baborów - urban area (4)";12;
1602015;"Baborów - rural area (5)";105;
1602022;"Branice (2)";122;
1602033;"Głubczyce (3)";294;
1602034;"Głubczyce - urban area (4)";13;
1602035;"Głubczyce - rural area (5)";281;
1602043;"Kietrz (3)";140;
1602044;"Kietrz - urban area (4)";19;
1602045;"Kietrz - rural area (5)";121;
1603000;"Powiat kędzierzyńsko-kozielski";625;
1603011;"Kędzierzyn-Koźle (1)";124;
1603022;"Bierawa (2)";119;
1603032;"Cisek (2)";71;
1603042;"Pawłowiczki (2)";153;
1603052;"Polska Cerekiew (2)";60;
1603062;"Reńska Wieś (2)";98;
1604000;"Powiat kluczborski";852;
1604013;"Byczyna (3)";183;
1604014;"Byczyna - urban area (4)";6;
1604015;"Byczyna - rural area (5)";177;
1604023;"Kluczbork (3)";217;
1604024;"Kluczbork - urban area (4)";12;
1604025;"Kluczbork - rural area (5)";205;
1604032;"Lasowice Wielkie (2)";211;
1604043;"Wołczyn (3)";241;
1604044;"Wołczyn - urban area (4)";7;
1604045;"Wołczyn - rural area (5)";234;
1605000;"Powiat krapkowicki";442;
1605013;"Gogolin (3)";101;
1605014;"Gogolin - urban area (4)";21;
1605015;"Gogolin - rural area (5)";80;
1605023;"Krapkowice (3)";97;
1605024;"Krapkowice - urban area (4)";21;
1605025;"Krapkowice - rural area (5)";76;
1605032;"Strzeleczki (2)";118;
1605042;"Walce (2)";69;
1605053;"Zdzieszowice (3)";57;
1605054;"Zdzieszowice - urban area (4)";12;
1605055;"Zdzieszowice - rural area (5)";45;
1606000;"Powiat namysłowski";748;
1606012;"Domaszowice (2)";114;
1606023;"Namysłów (3)";290;
1606024;"Namysłów - urban area (4)";23;
1606025;"Namysłów - rural area (5)";267;
1606032;"Pokój (2)";133;
1606042;"Świerczów (2)";110;
1606052;"Wilków (2)";101;
1607000;"Powiat nyski";1224;
1607013;"Głuchołazy (3)";168;
1607014;"Głuchołazy - urban area (4)";6;
1607015;"Głuchołazy - rural area (5)";162;
1607022;"Kamiennik (2)";89;
1607033;"Korfantów (3)";180;
1607034;"Korfantów - urban area (4)";10;
1607035;"Korfantów - rural area (5)";170;
1607042;"Łambinowice (2)";124;
1607053;"Nysa (3)";218;
1607054;"Nysa - urban area (4)";28;
1607055;"Nysa - rural area (5)";190;
1607063;"Otmuchów (3)";187;
1607064;"Otmuchów - urban area (4)";50;
1607065;"Otmuchów - rural area (5)";137;
1607073;"Paczków (3)";80;
1607074;"Paczków - urban area (4)";7;
1607075;"Paczków - rural area (5)";73;
1607082;"Pakosławice (2)";74;
1607092;"Skoroszyce (2)";104;
1608000;"Powiat oleski";973;
1608013;"Dobrodzień (3)";163;
1608014;"Dobrodzień - urban area (4)";19;
1608015;"Dobrodzień - rural area (5)";144;
1608023;"Gorzów Śląski (3)";154;
1608024;"Gorzów Śląski - urban area (4)";19;
1608025;"Gorzów Śląski - rural area (5)";135;
1608033;"Olesno (3)";241;
1608034;"Olesno - urban area (4)";15;
1608035;"Olesno - rural area (5)";226;
1608043;"Praszka (3)";103;
1608044;"Praszka - urban area (4)";9;
1608045;"Praszka - rural area (5)";94;
1608052;"Radłów (2)";116;
1608062;"Rudniki (2)";100;
1608072;"Zębowice (2)";96;
1609000;"Powiat opolski";1534;
1609012;"Chrząstowice (2)";82;
1609022;"Dąbrowa (2)";114;
