"Code";"Name";"total;dwellings;2021;[-]";
1207082;"Łukowica (2)";2634;
1207092;"Mszana Dolna (2)";4315;
1207102;"Niedźwiedź (2)";1905;
1207112;"Słopnice (2)";1532;
1207122;"Tymbark (2)";1684;
1208000;"Powiat miechowski";17920;
1208012;"Charsznica (2)";2501;
1208022;"Gołcza (2)";2096;
1208032;"Kozłów (2)";1663;
1208042;"Książ Wielki (2)";1982;
1208053;"Miechów (3)";7567;
1208054;"Miechów - urban area (4)";4854;
1208055;"Miechów - rural area (5)";2713;
1208062;"Racławice (2)";824;
1208072;"Słaboszów (2)";1287;
1209000;"Powiat myślenicki";38285;
1209013;"Dobczyce (3)";4895;
1209014;"Dobczyce - urban area (4)";2087;
1209015;"Dobczyce - rural area (5)";2808;
1209022;"Lubień (2)";2810;
1209033;"Myślenice (3)";14417;
1209034;"Myślenice - urban area (4)";6700;
1209035;"Myślenice - rural area (5)";7717;
1209042;"Pcim (2)";2897;
1209052;"Raciechowice (2)";1873;
1209062;"Siepraw (2)";2767;
1209073;"Sułkowice (3)";4155;
1209074;"Sułkowice - urban area (4)";1818;
1209075;"Sułkowice - rural area (5)";2337;
1209082;"Tokarnia (2)";2378;
1209092;"Wiśniowa (2)";2093;
1210000;"Powiat nowosądecki";59970;
1210011;"Grybów (1)";1929;
1210022;"Chełmiec (2)";7760;
1210032;"Gródek nad Dunajcem (2)";2784;
1210042;"Grybów (2)";6318;
1210052;"Kamionka Wielka (2)";2548;
1210062;"Korzenna (2)";3395;
1210073;"Krynica-Zdrój (3)";6856;
1210074;"Krynica-Zdrój - urban area (4)";5148;
1210075;"Krynica-Zdrój - rural area (5)";1708;
1210082;"Łabowa (2)";1497;
1210092;"Łącko (2)";4311;
1210102;"Łososina Dolna (2)";2899;
1210113;"Muszyna (3)";3531;
1210114;"Muszyna - urban area (4)";1672;
1210115;"Muszyna - rural area (5)";1859;
1210122;"Nawojowa (2)";2175;
1210133;"Piwniczna-Zdrój (3)";2915;
1210134;"Piwniczna-Zdrój - urban area (4)";1743;
1210135;"Piwniczna-Zdrój - rural area (5)";1172;
1210142;"Podegrodzie (2)";3358;
1210152;"Rytro (2)";944;
1210163;"Stary Sącz (3)";6750;
1210164;"Stary Sącz - urban area (4)";2886;
1210165;"Stary Sącz - rural area (5)";3864;
1211000;"Powiat nowotarski";56599;
1211011;"Nowy Targ (1)";11945;
1211023;"Szczawnica (3)";2754;
1211024;"Szczawnica - urban area (4)";2203;
1211025;"Szczawnica - rural area (5)";551;
1211032;"Czarny Dunajec (2)";6121;
1211042;"Czorsztyn (2)";2114;
1211052;"Jabłonka (2)";5399;
1211062;"Krościenko nad Dunajcem (2)";2177;
1211072;"Lipnica Wielka (2)";1561;
1211082;"Łapsze Niżne (2)";2477;
1211092;"Nowy Targ (2)";6067;
1211102;"Ochotnica Dolna (2)";2423;
1211112;"Raba Wyżna (2)";3832;
1211123;"Rabka-Zdrój (3)";5736;
1211124;"Rabka-Zdrój - urban area (4)";4687;
1211125;"Rabka-Zdrój - rural area (5)";1049;
1211132;"Spytkowice (2)";1221;
1211142;"Szaflary (2)";2772;
1212000;"Powiat olkuski";39613;
1212011;"Bukowno (1)";3973;
1212032;"Bolesław (2)";2614;
1212042;"Klucze (2)";5401;
1212053;"Olkusz (3)";17126;
1212054;"Olkusz - urban area (4)";13322;
1212055;"Olkusz - rural area (5)";3804;
1212062;"Trzyciąż (2)";2236;
1212073;"Wolbrom (3)";8263;
1212074;"Wolbrom - urban area (4)";3634;
1212075;"Wolbrom - rural area (5)";4629;
1213000;"Powiat oświęcimski";54207;
1213011;"Oświęcim (1)";16653;
1213023;"Brzeszcze (3)";8008;
1213024;"Brzeszcze - urban area (4)";4517;
1213025;"Brzeszcze - rural area (5)";3491;
1213033;"Chełmek (3)";4720;
1213034;"Chełmek - urban area (4)";3458;
1213035;"Chełmek - rural area (5)";1262;
1213043;"Kęty (3)";10652;
1213044;"Kęty - urban area (4)";6359;
1213045;"Kęty - rural area (5)";4293;
1213052;"Osiek (2)";2246;
1213062;"Oświęcim (2)";6046;
1213072;"Polanka Wielka (2)";1239;
1213082;"Przeciszów (2)";1804;
1213093;"Zator (3)";2839;
1213094;"Zator - urban area (4)";1282;
1213095;"Zator - rural area (5)";1557;
1214000;"Powiat proszowicki";13470;
1214012;"Koniusza (2)";2573;
1214023;"Koszyce (3)";1777;
1214024;"Koszyce - urban area (4)";296;
1214025;"Koszyce - rural area (5)";1481;
1214033;"Nowe Brzesko (3)";1739;
1214034;"Nowe Brzesko - urban area (4)";541;
1214035;"Nowe Brzesko - rural area (5)";1198;
1214042;"Pałecznica (2)";988;
1214053;"Proszowice (3)";5376;
1214054;"Proszowice - urban area (4)";2392;
1214055;"Proszowice - rural area (5)";2984;
1214062;"Radziemice (2)";1017;
1215000;"Powiat suski";26586;
1215011;"Jordanów (1)";1862;
1215021;"Sucha Beskidzka (1)";3310;
1215032;"Budzów (2)";2339;
1215042;"Bystra-Sidzina (2)";1964;
1215052;"Jordanów (2)";3122;
1215063;"Maków Podhalański (3)";5131;
1215064;"Maków Podhalański - urban area (4)";2148;
1215065;"Maków Podhalański - rural area (5)";2983;
1215072;"Stryszawa (2)";4322;
1215082;"Zawoja (2)";2701;
1215092;"Zembrzyce (2)";1835;
1216000;"Powiat tarnowski";57141;
1216013;"Ciężkowice (3)";3187;
1216014;"Ciężkowice - urban area (4)";796;
1216015;"Ciężkowice - rural area (5)";2391;
1216022;"Gromnik (2)";2429;
1216032;"Lisia Góra (2)";4282;
1216042;"Pleśna (2)";3481;
1216053;"Radłów (3)";2816;
1216054;"Radłów - urban area (4)";848;
1216055;"Radłów - rural area (5)";1968;
1216063;"Ryglice (3)";3162;
1216064;"Ryglice - urban area (4)";826;
1216065;"Ryglice - rural area (5)";2336;
1216072;"Rzepiennik Strzyżewski (2)";1825;
1216082;"Skrzyszów (2)";4028;
1216092;"Tarnów (2)";7660;
1216103;"Tuchów (3)";5202;
1216104;"Tuchów - urban area (4)";2043;
1216105;"Tuchów - rural area (5)";3159;
1216112;"Wierzchosławice (2)";3128;
1216122;"Wietrzychowice (2)";1121;
1216133;"Wojnicz (3)";3640;
1216134;"Wojnicz - urban area (4)";953;
1216135;"Wojnicz - rural area (5)";2687;
1216143;"Zakliczyn (3)";3660;
1216144;"Zakliczyn - urban area (4)";520;
1216145;"Zakliczyn - rural area (5)";3140;
1216153;"Żabno (3)";5360;
1216154;"Żabno - urban area (4)";1282;
1216155;"Żabno - rural area (5)";4078;
1216162;"Szerzyny (2)";2160;
1217000;"Powiat tatrzański";26020;
1217011;"Zakopane (1)";12873;
1217022;"Biały Dunajec (2)";1976;
1217032;"Bukowina Tatrzańska (2)";3845;
1217042;"Kościelisko (2)";3808;
1217052;"Poronin (2)";3518;
1218000;"Powiat wadowicki";50042;
1218013;"Andrychów (3)";14012;
1218014;"Andrychów - urban area (4)";7451;
1218015;"Andrychów - rural area (5)";6561;
1218022;"Brzeźnica (2)";3351;
1218033;"Kalwaria Zebrzydowska (3)";5990;
1218034;"Kalwaria Zebrzydowska - urban area (4)";1564;
1218035;"Kalwaria Zebrzydowska - rural area (5)";4426;
1218042;"Lanckorona (2)";1899;
1218052;"Mucharz (2)";1387;
1218062;"Spytkowice (2)";2694;
1218072;"Stryszów (2)";2044;
1218082;"Tomice (2)";2290;
1218093;"Wadowice (3)";12964;
1218094;"Wadowice - urban area (4)";7269;
1218095;"Wadowice - rural area (5)";5695;
1218102;"Wieprz (2)";3411;
1219000;"Powiat wielicki";47578;
1219012;"Biskupice (2)";3261;
1219022;"Gdów (2)";5364;
1219032;"Kłaj (2)";3457;
1219043;"Niepołomice (3)";10769;
1219044;"Niepołomice - urban area (4)";5749;
1219045;"Niepołomice - rural area (5)";5020;
1219053;"Wieliczka (3)";24727;
1219054;"Wieliczka - urban area (4)";11765;
1219055;"Wieliczka - rural area (5)";12962;
1261000;"City with powiat status Kraków";438684;
1261011;"Kraków (1)";438684;
1262000;"City with powiat status Nowy Sącz";31555;
1262011;"Nowy Sącz (1)";31555;
1263000;"City with powiat status Tarnów";45159;
1263011;"Tarnów (1)";45159;
1400000;"MAZOWIECKIE";2443589;
1401000;"Powiat białobrzeski";11728;
1401013;"Białobrzegi (3)";4149;
1401014;"Białobrzegi - urban area (4)";2733;
1401015;"Białobrzegi - rural area (5)";1416;
1401022;"Promna (2)";2069;
1401032;"Radzanów (2)";1078;
1401042;"Stara Błotnica (2)";1529;
1401052;"Stromiec (2)";1821;
1401063;"Wyśmierzyce (3)";1082;
1401064;"Wyśmierzyce - urban area (4)";372;
1401065;"Wyśmierzyce - rural area (5)";710;
1402000;"Powiat ciechanowski";33137;
1402011;"Ciechanów (1)";18643;
1402022;"Ciechanów (2)";2438;
1402033;"Glinojeck (3)";2764;
1402034;"Glinojeck - urban area (4)";1072;
1402035;"Glinojeck - rural area (5)";1692;
1402042;"Gołymin-Ośrodek (2)";1095;
1402052;"Grudusk (2)";1115;
1402062;"Ojrzeń (2)";1361;
1402072;"Opinogóra Górna (2)";1738;
1402082;"Regimin (2)";1554;
1402092;"Sońsk (2)";2429;
1403000;"Powiat garwoliński";36151;
1403011;"Garwolin (1)";7063;
1403021;"Łaskarzew (1)";1577;
1403032;"Borowie (2)";1638;
1403042;"Garwolin (2)";4148;
1403052;"Górzno (2)";1909;
1403062;"Łaskarzew (2)";1570;
1403072;"Maciejowice (2)";2339;
1403082;"Miastków Kościelny (2)";1534;
1403092;"Parysów (2)";1333;
1403103;"Pilawa (3)";3519;
1403104;"Pilawa - urban area (4)";1379;
1403105;"Pilawa - rural area (5)";2140;
1403112;"Sobolew (2)";2593;
1403122;"Trojanów (2)";2268;
1403132;"Wilga (2)";2105;
1403143;"Żelechów (3)";2555;
1403144;"Żelechów - urban area (4)";1315;
1403145;"Żelechów - rural area (5)";1240;
1404000;"Powiat gostyniński";16115;
1404011;"Gostynin (1)";7568;
1404022;"Gostynin (2)";3985;
1404032;"Pacyna (2)";1073;
1404043;"Sanniki (3)";1888;
1404044;"Sanniki - urban area (4)";673;
1404045;"Sanniki - rural area (5)";1215;
1404052;"Szczawin Kościelny (2)";1601;
1405000;"Powiat grodziski";40614;
1405011;"Milanówek (1)";6833;
1405021;"Podkowa Leśna (1)";1543;
1405032;"Baranów (2)";1799;
1405043;"Grodzisk Mazowiecki (3)";22037;
1405044;"Grodzisk Mazowiecki - urban area (4)";15495;
1405045;"Grodzisk Mazowiecki - rural area (5)";6542;
1405052;"Jaktorów (2)";4480;
1405062;"Żabia Wola (2)";3922;
1406000;"Powiat grójecki";37910;
1406012;"Belsk Duży (2)";2155;
1406022;"Błędów (2)";2414;
1406032;"Chynów (2)";3537;
1406042;"Goszczyn (2)";985;
1406053;"Grójec (3)";12027;
1406054;"Grójec - urban area (4)";8639;
1406055;"Grójec - rural area (5)";3388;
1406062;"Jasieniec (2)";1791;
1406073;"Mogielnica (3)";2949;
1406074;"Mogielnica - urban area (4)";926;
1406075;"Mogielnica - rural area (5)";2023;
1406083;"Nowe Miasto nad Pilicą (3)";3105;
1406084;"Nowe Miasto nad Pilicą - urban area (4)";1602;
1406085;"Nowe Miasto nad Pilicą - rural area (5)";1503;
1406092;"Pniewy (2)";1611;
1406113;"Warka (3)";7336;
1406114;"Warka - urban area (4)";5027;
1406115;"Warka - rural area (5)";2309;
1407000;"Powiat kozienicki";22142;
1407012;"Garbatka-Letnisko (2)";1923;
1407022;"Głowaczów (2)";2555;
1407032;"Gniewoszów (2)";1379;
1407042;"Grabów nad Pilicą (2)";1527;
1407053;"Kozienice (3)";11241;
1407054;"Kozienice - urban area (4)";6946;
1407055;"Kozienice - rural area (5)";4295;
1407062;"Magnuszew (2)";2084;
1407072;"Sieciechów (2)";1433;
1408000;"Powiat legionowski";52703;
1408011;"Legionowo (1)";22575;
1408022;"Jabłonna (2)";8858;
1408032;"Nieporęt (2)";6350;
1408043;"Serock (3)";7191;
1408044;"Serock - urban area (4)";2320;
1408045;"Serock - rural area (5)";4871;
1408052;"Wieliszew (2)";7729;
1409000;"Powiat lipski";12343;
1409012;"Chotcza (2)";952;
1409022;"Ciepielów (2)";1844;
1409033;"Lipsko (3)";3898;
1409034;"Lipsko - urban area (4)";2061;
1409035;"Lipsko - rural area (5)";1837;
1409042;"Rzeczniów (2)";1521;
1409052;"Sienno (2)";2173;
1409063;"Solec nad Wisłą (3)";1955;
1409064;"Solec nad Wisłą - urban area (4)";432;
1409065;"Solec nad Wisłą - rural area (5)";1523;
1410000;"Powiat łosicki";11338;
1410012;"Huszlew (2)";951;
1410023;"Łosice (3)";4095;
1410024;"Łosice - urban area (4)";2867;
1410025;"Łosice - rural area (5)";1228;
1410032;"Olszanka (2)";952;
1410042;"Platerów (2)";1775;
1410052;"Sarnaki (2)";2105;
1410062;"Stara Kornica (2)";1460;
1411000;"Powiat makowski";15322;
1411011;"Maków Mazowiecki (1)";3794;
1411022;"Czerwonka (2)";812;
1411032;"Karniewo (2)";1432;
1411042;"Krasnosielc (2)";1986;
1411052;"Młynarze (2)";535;
1411062;"Płoniawy-Bramura (2)";1775;
1411073;"Różan (3)";1753;
1411074;"Różan - urban area (4)";1057;
1411075;"Różan - rural area (5)";696;
1411082;"Rzewnie (2)";931;
1411092;"Sypniewo (2)";1028;
1411102;"Szelków (2)";1276;
1412000;"Powiat miński";60445;
1412011;"Mińsk Mazowiecki (1)";18558;
1412042;"Cegłów (2)";2266;
1412052;"Dębe Wielkie (2)";3746;
1412062;"Dobre (2)";2267;
1412073;"Halinów (3)";6021;
1412074;"Halinów - urban area (4)";1291;
1412075;"Halinów - rural area (5)";4730;
1412082;"Jakubów (2)";1698;
1412093;"Kałuszyn (3)";2224;
1412094;"Kałuszyn - urban area (4)";1057;
1412095;"Kałuszyn - rural area (5)";1167;
1412102;"Latowicz (2)";1848;
1412112;"Mińsk Mazowiecki (2)";5561;
1412123;"Mrozy (3)";3426;
1412124;"Mrozy - urban area (4)";1366;
1412125;"Mrozy - rural area (5)";2060;
1412132;"Siennica (2)";2395;
1412142;"Stanisławów (2)";2318;
1412151;"Sulejówek (1)";8117;
1413000;"Powiat mławski";26645;
1413011;"Mława (1)";13867;
1413022;"Dzierzgowo (2)";963;
1413032;"Lipowiec Kościelny (2)";1502;
1413042;"Radzanów (2)";961;
1413052;"Strzegowo (2)";2404;
1413062;"Stupsk (2)";1480;
1413072;"Szreńsk (2)";1213;
1413082;"Szydłowo (2)";1367;
1413092;"Wieczfnia Kościelna (2)";1228;
1413102;"Wiśniewo (2)";1660;
1414000;"Powiat nowodworski";32527;
1414011;"Nowy Dwór Mazowiecki (1)";13340;
1414022;"Czosnów (2)";4003;
1414032;"Leoncin (2)";2124;
1414043;"Nasielsk (3)";6899;
1414044;"Nasielsk - urban area (4)";2993;
1414045;"Nasielsk - rural area (5)";3906;
1414052;"Pomiechówek (2)";3981;
1414063;"Zakroczym (3)";2180;
1414064;"Zakroczym - urban area (4)";1206;
1414065;"Zakroczym - rural area (5)";974;
1415000;"Powiat ostrołęcki";25250;
1415012;"Baranowo (2)";1948;
1415022;"Czarnia (2)";595;
1415032;"Czerwin (2)";1481;
1415042;"Goworowo (2)";2656;
1415052;"Kadzidło (2)";2877;
1415062;"Lelis (2)";2619;
1415072;"Łyse (2)";2078;
1415083;"Myszyniec (3)";2813;
1415084;"Myszyniec - urban area (4)";1024;
1415085;"Myszyniec - rural area (5)";1789;
1415092;"Olszewo-Borki (2)";3238;
1415102;"Rzekuń (2)";3499;
1415112;"Troszyn (2)";1446;
1416000;"Powiat ostrowski";24918;
1416011;"Ostrów Mazowiecka (1)";8575;
1416022;"Andrzejewo (2)";1144;
1416032;"Boguty-Pianki (2)";777;
1416043;"Brok (3)";1115;
1416044;"Brok - urban area (4)";817;
1416045;"Brok - rural area (5)";298;
1416052;"Małkinia Górna (2)";3931;
1416062;"Nur (2)";1191;
1416072;"Ostrów Mazowiecka (2)";4145;
1416082;"Stary Lubotyń (2)";1042;
1416092;"Szulborze Wielkie (2)";513;
1416102;"Wąsewo (2)";1342;
1416112;"Zaręby Kościelne (2)";1143;
1417000;"Powiat otwocki";49458;
1417011;"Józefów (1)";8226;
1417021;"Otwock (1)";19972;
1417032;"Celestynów (2)";3801;
1417043;"Karczew (3)";5893;
1417044;"Karczew - urban area (4)";3708;
1417045;"Karczew - rural area (5)";2185;
1417052;"Kołbiel (2)";2684;
1417062;"Osieck (2)";1282;
1417072;"Sobienie-Jeziory (2)";2339;
1417082;"Wiązowna (2)";5261;
1418000;"Powiat piaseczyński";88728;
1418013;"Góra Kalwaria (3)";10795;
1418014;"Góra Kalwaria - urban area (4)";4974;
1418015;"Góra Kalwaria - rural area (5)";5821;
1418023;"Konstancin-Jeziorna (3)";11178;
1418024;"Konstancin-Jeziorna - urban area (4)";8086;
1418025;"Konstancin-Jeziorna - rural area (5)";3092;
1418032;"Lesznowola (2)";14037;
1418043;"Piaseczno (3)";42851;
1418044;"Piaseczno - urban area (4)";25083;
1418045;"Piaseczno - rural area (5)";17768;
1418052;"Prażmów (2)";4522;
1418063;"Tarczyn (3)";5345;
1418064;"Tarczyn - urban area (4)";2042;
1418065;"Tarczyn - rural area (5)";3303;
1419000;"Powiat płocki";35702;
1419012;"Bielsk (2)";2569;
1419022;"Bodzanów (2)";2646;
1419032;"Brudzeń Duży (2)";2493;
1419042;"Bulkowo (2)";1559;
1419053;"Drobin (3)";2424;
1419054;"Drobin - urban area (4)";1003;
1419055;"Drobin - rural area (5)";1421;
1419063;"Gąbin (3)";3911;
1419064;"Gąbin - urban area (4)";1707;
1419065;"Gąbin - rural area (5)";2204;
1419072;"Łąck (2)";1953;
1419082;"Mała Wieś (2)";1940;
1419092;"Nowy Duninów (2)";1507;
1419102;"Radzanowo (2)";2630;
1419112;"Słubice (2)";1397;
1419122;"Słupno (2)";2956;
1419132;"Stara Biała (2)";3572;
1419142;"Staroźreby (2)";2245;
1419153;"Wyszogród (3)";1900;
1419154;"Wyszogród - urban area (4)";971;
1419155;"Wyszogród - rural area (5)";929;
1420000;"Powiat płoński";31445;
1420011;"Płońsk (1)";9772;
1420021;"Raciąż (1)";1538;
1420032;"Baboszewo (2)";2222;
1420043;"Czerwińsk nad Wisłą (3)";2528;
1420044;"Czerwińsk nad Wisłą - urban area (4)";501;
1420045;"Czerwińsk nad Wisłą - rural area (5)";2027;
1420052;"Dzierzążnia (2)";1083;
1420062;"Joniec (2)";1555;
1420072;"Naruszewo (2)";1980;
1420082;"Nowe Miasto (2)";1762;
1420092;"Płońsk (2)";2698;
1420102;"Raciąż (2)";2411;
1420113;"Sochocin (3)";2039;
1420114;"Sochocin - urban area (4)";708;
1420115;"Sochocin - rural area (5)";1331;
1420122;"Załuski (2)";1857;
1421000;"Powiat pruszkowski";74657;
1421011;"Piastów (1)";10328;
1421021;"Pruszków (1)";31467;
1421033;"Brwinów (3)";11825;
1421034;"Brwinów - urban area (4)";6093;
1421035;"Brwinów - rural area (5)";5732;
1421042;"Michałowice (2)";6948;
1421052;"Nadarzyn (2)";6304;
1421062;"Raszyn (2)";7785;
1422000;"Powiat przasnyski";16741;
1422011;"Przasnysz (1)";6598;
1422023;"Chorzele (3)";2954;
1422024;"Chorzele - urban area (4)";1028;
1422025;"Chorzele - rural area (5)";1926;
1422032;"Czernice Borowe (2)";1053;
1422042;"Jednorożec (2)";2124;
1422052;"Krasne (2)";1074;
1422062;"Krzynowłoga Mała (2)";966;
1422072;"Przasnysz (2)";1972;
1423000;"Powiat przysuski";14303;
1423012;"Borkowice (2)";1656;
1423022;"Gielniów (2)";1619;
1423032;"Klwów (2)";1078;
1423042;"Odrzywół (2)";1472;
1423052;"Potworów (2)";1244;
1423063;"Przysucha (3)";4256;
1423064;"Przysucha - urban area (4)";2256;
1423065;"Przysucha - rural area (5)";2000;
1423072;"Rusinów (2)";1247;
1423082;"Wieniawa (2)";1731;
1424000;"Powiat pułtuski";18733;
1424012;"Gzy (2)";1032;
1424022;"Obryte (2)";1434;
1424032;"Pokrzywnica (2)";2302;
1424043;"Pułtusk (3)";9718;
1424044;"Pułtusk - urban area (4)";8070;
1424045;"Pułtusk - rural area (5)";1648;
1424052;"Świercze (2)";1493;
1424062;"Winnica (2)";1245;
1424072;"Zatory (2)";1509;
1425000;"Powiat radomski";47759;
1425011;"Pionki (1)";7141;
1425022;"Gózd (2)";2499;
1425033;"Iłża (3)";4806;
1425034;"Iłża - urban area (4)";1910;
1425035;"Iłża - rural area (5)";2896;
1425042;"Jastrzębia (2)";2045;
1425052;"Jedlińsk (2)";4014;
1425062;"Jedlnia-Letnisko (2)";4195;
1425072;"Kowala (2)";3593;
1425082;"Pionki (2)";3231;
1425092;"Przytyk (2)";2208;
1425103;"Skaryszew (3)";4374;
1425104;"Skaryszew - urban area (4)";1334;
1425105;"Skaryszew - rural area (5)";3040;
1425112;"Wierzbica (2)";2975;
1425122;"Wolanów (2)";2690;
1425132;"Zakrzew (2)";3988;
1426000;"Powiat siedlecki";27017;
1426012;"Domanice (2)";888;
1426022;"Korczew (2)";1239;
1426032;"Kotuń (2)";2980;
1426042;"Mokobody (2)";1632;
1426053;"Mordy (3)";2081;
1426054;"Mordy - urban area (4)";634;
1426055;"Mordy - rural area (5)";1447;
1426062;"Paprotnia (2)";806;
1426072;"Przesmyki (2)";1154;
1426082;"Siedlce (2)";5844;
1426092;"Skórzec (2)";2377;
1426102;"Suchożebry (2)";1540;
1426112;"Wiśniew (2)";1817;
1426122;"Wodynie (2)";1589;
1426132;"Zbuczyn (2)";3070;
1427000;"Powiat sierpecki";17263;
1427011;"Sierpc (1)";7495;
1427022;"Gozdowo (2)";1737;
1427032;"Mochowo (2)";1758;
1427042;"Rościszewo (2)";1125;
1427052;"Sierpc (2)";2083;
1427062;"Szczutowo (2)";1243;
1427072;"Zawidz (2)";1822;
1428000;"Powiat sochaczewski";30362;
1428011;"Sochaczew (1)";14676;
1428022;"Brochów (2)";1402;
1428032;"Iłów (2)";1863;
1428042;"Młodzieszyn (2)";1820;
1428052;"Nowa Sucha (2)";2107;
1428062;"Rybno (2)";1031;
1428072;"Sochaczew (2)";3612;
1428082;"Teresin (2)";3851;
1429000;"Powiat sokołowski";20376;
1429011;"Sokołów Podlaski (1)";7731;
1429022;"Bielany (2)";1085;
1429032;"Ceranów (2)";840;
1429042;"Jabłonna Lacka (2)";1524;
1429053;"Kosów Lacki (3)";2350;
1429054;"Kosów Lacki - urban area (4)";832;
1429055;"Kosów Lacki - rural area (5)";1518;
1429062;"Repki (2)";1821;
1429072;"Sabnie (2)";1393;
1429082;"Sokołów Podlaski (2)";2060;
1429092;"Sterdyń (2)";1572;
1430000;"Powiat szydłowiecki";13143;
1430012;"Chlewiska (2)";2370;
1430022;"Jastrząb (2)";1725;
1430032;"Mirów (2)";1035;
1430042;"Orońsko (2)";1769;
1430053;"Szydłowiec (3)";6244;
1430054;"Szydłowiec - urban area (4)";4016;
1430055;"Szydłowiec - rural area (5)";2228;
1432000;"Powiat warszawski zachodni";50461;
1432013;"Błonie (3)";9200;
1432014;"Błonie - urban area (4)";5543;
1432015;"Błonie - rural area (5)";3657;
1432022;"Izabelin (2)";3621;
1432032;"Kampinos (2)";1525;
1432042;"Leszno (2)";4268;
1432053;"Łomianki (3)";11246;
1432054;"Łomianki - urban area (4)";6373;
1432055;"Łomianki - rural area (5)";4873;
1432063;"Ożarów Mazowiecki (3)";12927;
1432064;"Ożarów Mazowiecki - urban area (4)";6812;
1432065;"Ożarów Mazowiecki - rural area (5)";6115;
1432072;"Stare Babice (2)";7674;
1433000;"Powiat węgrowski";24426;
1433011;"Węgrów (1)";4802;
1433022;"Grębków (2)";1438;
1433032;"Korytnica (2)";1986;
1433042;"Liw (2)";2538;
1433053;"Łochów (3)";6927;
1433054;"Łochów - urban area (4)";2341;
1433055;"Łochów - rural area (5)";4586;
1433062;"Miedzna (2)";1360;
1433072;"Sadowne (2)";2411;
1433082;"Stoczek (2)";1937;
1433092;"Wierzbno (2)";1027;
1434000;"Powiat wołomiński";99240;
1434011;"Kobyłka (1)";9611;
1434021;"Marki (1)";17381;
1434031;"Ząbki (1)";18806;
1434041;"Zielonka (1)";6818;
1434052;"Dąbrówka (2)";2607;
1434062;"Jadów (2)";2685;
1434072;"Klembów (2)";3297;
1434082;"Poświętne (2)";1743;
1434093;"Radzymin (3)";10238;
1434094;"Radzymin - urban area (4)";5457;
1434095;"Radzymin - rural area (5)";4781;
1434102;"Strachówka (2)";991;
1434113;"Tłuszcz (3)";6041;
1434114;"Tłuszcz - urban area (4)";2633;
1434115;"Tłuszcz - rural area (5)";3408;
1434123;"Wołomin (3)";19022;
1434124;"Wołomin - urban area (4)";14574;
1434125;"Wołomin - rural area (5)";4448;
1435000;"Powiat wyszkowski";24821;
1435012;"Brańszczyk (2)";2786;
1435022;"Długosiodło (2)";2449;
1435032;"Rząśnik (2)";1963;
1435042;"Somianka (2)";1738;
1435053;"Wyszków (3)";13959;
1435054;"Wyszków - urban area (4)";10112;
1435055;"Wyszków - rural area (5)";3847;
1435062;"Zabrodzie (2)";1926;
1436000;"Powiat zwoleński";11882;
1436012;"Kazanów (2)";1510;
1436022;"Policzna (2)";1779;
1436032;"Przyłęk (2)";2038;
1436042;"Tczów (2)";1355;
1436053;"Zwoleń (3)";5200;
1436054;"Zwoleń - urban area (4)";2966;
1436055;"Zwoleń - rural area (5)";2234;
1437000;"Powiat żuromiński";12074;
1437013;"Bieżuń (3)";1533;
1437014;"Bieżuń - urban area (4)";683;
1437015;"Bieżuń - rural area (5)";850;
1437022;"Kuczbork-Osada (2)";1403;
1437033;"Lubowidz (3)";2207;
1437034;"Lubowidz - urban area (4)";534;
1437035;"Lubowidz - rural area (5)";1673;
1437042;"Lutocin (2)";1082;
1437052;"Siemiątkowo (2)";907;
1437063;"Żuromin (3)";4942;
1437064;"Żuromin - urban area (4)";3426;
1437065;"Żuromin - rural area (5)";1516;
1438000;"Powiat żyrardowski";32558;
1438011;"Żyrardów (1)";19201;
1438023;"Mszczonów (3)";4253;
1438024;"Mszczonów - urban area (4)";2575;
1438025;"Mszczonów - rural area (5)";1678;
1438032;"Puszcza Mariańska (2)";3394;
1438042;"Radziejowice (2)";2296;
1438053;"Wiskitki (3)";3414;
1438054;"Wiskitki - urban area (4)";538;
1438055;"Wiskitki - rural area (5)";2876;
1461000;"City with powiat status Ostrołęka";20177;
1461011;"Ostrołęka (1)";20177;
1462000;"City with powiat status Płock";53339;
1462011;"Płock (1)";53339;
1463000;"City with powiat status Radom";87577;
1463011;"Radom (1)";87577;
1464000;"City with powiat status Siedlce";35195;
1464011;"Siedlce (1)";35195;
1465000;"City with powiat status Capital City Warszawa";1046864;
1465011;"Capital city Warszawa since 2002 (1)";1046864;
1465028;"Bemowo - district (8)";63749;
1465038;"Białołęka - district (8)";73350;
1465048;"Bielany - district (8)";71709;
1465058;"Mokotów - district (8)";140505;
1465068;"Ochota - district (8)";50061;
1465078;"Praga-Południe - district (8)";107824;
1465088;"Praga-Północ - district (8)";38159;
1465098;"Rembertów - district (8)";10737;
1465108;"Śródmieście - district (8)";77037;
1465118;"Targówek - district (8)";62947;
1465128;"Ursus - district (8)";34915;
1465138;"Ursynów - district (8)";76513;
1465148;"Wawer - district (8)";34898;
1465158;"Wesoła - district (8)";10042;
1465168;"Wilanów - district (8)";27109;
1465178;"Włochy - district (8)";27480;
1465188;"Wola - district (8)";104745;
1465198;"Żoliborz - district (8)";35084;
1600000;"OPOLSKIE";362849;
1601000;"Powiat brzeski";33870;
1601011;"Brzeg (1)";15524;
1601022;"Skarbimierz (2)";2895;
1601033;"Grodków (3)";6509;
1601034;"Grodków - urban area (4)";3276;
1601035;"Grodków - rural area (5)";3233;
